CAT,N. Gara,Data,Ora,Squadra A,Separatore,Squadra B,PALESTRA,NOTE,SetA_Vinti,SetB_Vinti,1_SET_PTS_A,1_SET_PTS_B,2_SET_PTS_A,2_SET_PTS_B,3_SET_PTS_A,3_SET_PTS_B,4_SET_PTS_A,4_SET_PTS_B,5_SET_PTS_A,5_SET_PTS_B
4+2,730148,gio 05 /02/ 26,ore 21.00,ASD Airasca Longobarda,-,Banane Magiche,"Pal. scuola primaria, Via Torino,13 - Castagnole Piemonte ",No pubblico,,,,,,,,,,,,
4+2,730149,mar 11 /11/ 25,ore 21.00,ASD Patr. San Giuseppe,-,Frassati S.Carlo,"Via Pietro Baiardi 4, Torino",,3,0,25,12,25,21,26,24,,,,
4+2,730150,dom 08 /02/ 26,ore 20.45,Kolbe GEN-YZ,-,Sinapsi,Palestra Aprica via Bard 39 Torino,,,,,,,,,,,,,

4+2,730151,dom 15 /02/ 26,ore 20.45,Kolbe GEN-YZ,-,San Luigi Santena,Palestra Aprica via Bard 39 Torino,,,,,,,,,,,,,
4+2,730152,mer 11 /02/ 26,ore 21.30,Sinapsi,-,ASD Patr. San Giuseppe,Pal. Com. - Piazza della Concordia Givoletto TO ,ingresso retro pal.,,,,,,,,,,,,
4+2,730153,gio 12 /02/ 26,ore 21.20,Frassati S.Carlo,-,ASD Airasca Longobarda,Palavauda -Viale Europa - Vauda C.se ,ingresso H 20.30,,,,,,,,,,,,
4+2,730154,mar 10 /02/ 26,ore 20.30,Banane Magiche,-,Virtus Gialla,"Strada Contessa,90 Caselette",,,,,,,,,,,,,
4+2,730155,gio 20 /11/ 25,ore 21.00,Frassati Valle Sauglio,-,T.V.M.21 - Schiacciami Ancora,"Ist. Flora Manfrinati - Str. Revigliasco, 69 - Moncalieri TO",,,,,,,,,,,,,

4+2,730156,gio 19 /02/ 26,ore 21.30,San Luigi Santena,-,Frassati Valle Sauglio,"Pal. Oratorio S.Luigi Santena via Vittorio Veneto,31 ",ingresso da via Milite Ignoto,,,,,,,,,,,,
4+2,730157,mer 18 /02/ 26,ore 21.00,T.V.M.21 - Schiacciami Ancora,-,Banane Magiche,"Scuola Colombo, Piazzetta Jona 4, TO ",Max 3 ospiti a squadra,,,,,,,,,,,,
4+2,730158,mer 26 /11/ 25,ore 21.30,Virtus Gialla,-,Frassati S.Carlo,Via Trieste 1 - Volpiano,,,,,,,,,,,,,
4+2,730159,gio 19 /02/ 26,ore 21.00,ASD Airasca Longobarda,-,Sinapsi,"Pal. scuola primaria, Via Torino,13 - Castagnole Piemonte ",No pubblico,,,,,,,,,,,,
4+2,730160,gio 19 /02/ 26,ore 20.30,ASD Patr. San Giuseppe,-,Kolbe GEN-YZ,"Via Pietro Baiardi 4, Torino",,,,,,,,,,,,,

4+2,730161,gio 26 /02/ 26,ore 20.30,ASD Patr. San Giuseppe,-,San Luigi Santena,"Via Pietro Baiardi 4, Torino",,,,,,,,,,,,,
4+2,730162,dom 01 /03/ 26,ore 20.45,Kolbe GEN-YZ,-,ASD Airasca Longobarda,Palestra Aprica via Bard 39 Torino,,,,,,,,,,,,,
4+2,730163,mer 25 /02/ 26,ore 21.30,Sinapsi,-,Virtus Gialla,Pal. Com. - Piazza della Concordia Givoletto TO ingresso retro pal.,,,,,,,,,,,,,
4+2,730164,gio 26 /02/ 26,ore 21.20,Frassati S.Carlo,-,T.V.M.21 - Schiacciami Ancora,Palavauda -Viale Europa - Vauda C.se ingresso H 20.30,,,,,,,,,,,,,
4+2,730165,mar 24 /02/ 26,ore 20.30,Banane Magiche,-,Frassati Valle Sauglio,"Strada Contessa,90 Caselette",,,,,,,,,,,,,

4+2,730166,mar 03 /03/ 26,ore 21.30,San Luigi Santena,-,Banane Magiche,"Pal. Oratorio S.Luigi Santena via Vittorio Veneto,31 ingresso da via Milite Ignoto",,,,,,,,,,,,,
4+2,730167,gio 05 /03/ 26,ore 21.00,Frassati Valle Sauglio,-,Frassati S.Carlo,"Ist. Flora Manfrinati - Str. Revigliasco, 69 - Moncalieri TO",,,,,,,,,,,,,
