CAT,N. Gara,Data,Ora,Squadra A,Separatore,Squadra B,PALESTRA,NOTE,SetA_Vinti,SetB_Vinti,1_SET_PTS_A,1_SET_PTS_B,2_SET_PTS_A,2_SET_PTS_B,3_SET_PTS_A,3_SET_PTS_B,4_SET_PTS_A,4_SET_PTS_B,5_SET_PTS_A,5_SET_PTS_B
OPMSB,742163,ven 23/01/26,21:15,Gianferr Volley,-,San Salvario,"Pal. Scuole - Via Remo Bretto,12  Feletto",,,,,,,,,,,,,

OPMSB,742164,mer 28/01/26,21:15,Sociale Sport - SEMPRE FUORI CASA,-,Sportidea Drink Team,Pal. Morante - Piazzetta Jona 4 - Torino,,,,,,,,,,,,,
OPMSB,742165,lun 26/01/26,20:45,Dora TO,-,Sportidea Monsterbrock,"Pal. Cecchi, Via A. Cecchi, 14, TO",,,,,,,,,,,,,
OPMSB,742166,mer 28/01/26,21:00,Sgnacalabala Vintage,-,Borgofranco Volley,"Pal. Cattaneo - Via Giacomo Leopardi, 22 - Collegno  ingresso H20,30 pubblico 15/20",,,,,,,,,,,,,
OPMSB,742167,gio 29/01/26,21:00,T.V.M.21 - Sbronzi di Riace,-,Sanbe Misto,"Scuola C. Picchio - Via Palma di Cesnola 31, TO - No pubblico - NO PALLONI",,,,,,,,,,,,,
OPMSB,742168,gio 29/01/26,20:45,Aurora Vanchiglia Volley,-,Vis Atletico Mista Open,"Scuola Aristide Gabelli - Via Santhià 25, TO - parcheggio interno",,,,,,,,,,,,,
OPMSB,742169,mer 28/01/26,20:30,ASD Patr. San Giuseppe,-,Gianferr Volley,Via Pietro Baiardi 4 TO,,,,,,,,,,,,,
OPMSB,742170,lun 26/01/26,,RIPOSO,-,San Salvario,,,,,,,,,,,,,,

OPMSB,742171,lun 02/02/26,21:15,Sportidea Drink Team,-,RIPOSO,"Scuola Modigliani Via Collino,4 TO",,,,,,,,,,,,,
OPMSB,742172,ven 06/02/26,21:15,Sportidea Monsterbrock,-,Sociale Sport - SEMPRE FUORI CASA,"Scuola Modigliani Via Collino,4 TO",,,,,,,,,,,,,
OPMSB,742173,dom 18/01/26,21:00,Borgofranco Volley,-,Dora TO,Via San Marco 8 Borgofranco d'Ivrea,,,,,,,,,,,,,
OPMSB,742174,gio 05/02/26,21:00,Sanbe Misto,-,Sgnacalabala Vintage,Pal. Com.  C.so Italia 34 San Benigno Canavese Ingresso ultimo cancello H20.30,,,,,,,,,,,,,
OPMSB,742175,gio 05/02/26,21:15,Vis Atletico Mista Open,-,T.V.M.21 - Sbronzi di Riace,"Pal. Chiovini - Via Monesiglio, 1 – NO Pubblico - NO Docce - ingresso H20:30",,,,,,,,,,,,,
OPMSB,742176,ven 06/02/26,21:15,Gianferr Volley,-,Aurora Vanchiglia Volley,"Pal. Scuole - Via Remo Bretto,12  Feletto",,,,,,,,,,,,,
OPMSB,742177,mer 04/02/26,21:00,San Salvario,-,ASD Patr. San Giuseppe,"Pal. Nievo - C-so Moncalieri, 43 – TO - MAX 3Sp / Squadra",,,,,,,,,,,,,

OPMSB,742178,lun 09/02/26,21:15,Sportidea Drink Team,-,Sportidea Monsterbrock,"Scuola Modigliani Via Collino,4 TO",,,,,,,,,,,,,
OPMSB,742179,dom 08/02/26,20:00,Sociale Sport - SEMPRE FUORI CASA,-,Borgofranco Volley,Via San Marco 8 Borgofranco d'Ivrea,,,,,,,,,,,,,
OPMSB,742180,lun 09/02/26,20:45,Dora TO,-,Sanbe Misto,"Pal. Cecchi, Via A. Cecchi, 14, TO",,,,,,,,,,,,,
OPMSB,742181,mer 11/02/26,21:00,Sgnacalabala Vintage,-,Vis Atletico Mista Open,"Pal. Cattaneo - Via Giacomo Leopardi, 22 - Collegno  ingresso H20,30 pubblico 15/20",,,,,,,,,,,,,
OPMSB,742182,gio 12/02/26,21:00,T.V.M.21 - Sbronzi di Riace,-,Gianferr Volley,"Scuola C. Picchio - Via Palma di Cesnola 31, TO - No pubblico - NO PALLONI",,,,,,,,,,,,,
OPMSB,742183,gio 12/02/26,20:45,Aurora Vanchiglia Volley,-,San Salvario,"Scuola Aristide Gabelli - Via Santhià 25, TO - parcheggio interno",,,,,,,,,,,,,
OPMSB,742184,lun 09/02/26,,RIPOSO,-,ASD Patr. San Giuseppe,,,,,,,,,,,,,,

OPMSB,742185,ven 20/02/26,21:15,Sportidea Monsterbrock,-,RIPOSO,"Scuola Modigliani Via Collino,4 TO",,,,,,,,,,,,,
OPMSB,742186,dom 22/02/26,21:00,Borgofranco Volley,-,Sportidea Drink Team,Via San Marco 8 Borgofranco d'Ivrea,,,,,,,,,,,,,
OPMSB,742187,gio 19/02/26,21:00,Sanbe Misto,-,Sociale Sport - SEMPRE FUORI CASA,Pal. Com.  C.so Italia 34 San Benigno Canavese Ingresso ultimo cancello H20.30,,,,,,,,,,,,,
OPMSB,742188,gio 19/02/26,21:15,Vis Atletico Mista Open,-,Dora TO,"Pal. Chiovini - Via Monesiglio, 1 – NO Pubblico - NO Docce - ingresso H20:30",,,,,,,,,,,,,
OPMSB,742189,ven 20/02/26,21:15,Gianferr Volley,-,Sgnacalabala Vintage,"Pal. Scuole - Via Remo Bretto,12  Feletto",,,,,,,,,,,,,
OPMSB,742190,mer 18/02/26,21:00,San Salvario,-,T.V.M.21 - Sbronzi di Riace,"Pal. Nievo - C-so Moncalieri, 43 – TO - MAX 3Sp / Squadra",,,,,,,,,,,,,
OPMSB,742191,mer 18/02/26,20:30,ASD Patr. San Giuseppe,-,Aurora Vanchiglia Volley,Via Pietro Baiardi 4 TO,,,,,,,,,,,,,
